name,term,freq,prediction_length,target_dim,windows,_min_series_length,sum_series_length,domain
bull,short,H,48,1,20,17544,719304,Energy
bull,medium,H,480,1,4,17544,719304,Energy
bull,long,H,720,1,3,17544,719304,Energy
cmip6_1885,short,6H,48,53,16,7300,3169484800,Climate
cmip6_1885,medium,6H,480,53,2,7300,3169484800,Climate
cmip6_1885,long,6H,720,53,2,7300,3169484800,Climate
era5_1991,short,H,48,45,19,8736,3220439040,Climate
era5_1991,medium,H,480,45,2,8736,3220439040,Climate
era5_1991,long,H,720,45,2,8736,3220439040,Climate
SHMETRO,short,15T,48,2,19,8809,5073984,Transport
SHMETRO,medium,15T,480,2,2,8809,5073984,Transport
SHMETRO,long,15T,720,2,2,8809,5073984,Transport
era5_2006,short,H,48,45,19,8736,3220439040,Climate
era5_2006,medium,H,480,45,2,8736,3220439040,Climate
era5_2006,long,H,720,45,2,8736,3220439040,Climate
BEIJING_SUBWAY_30MIN,short,30T,48,2,4,1572,867744,Transport
BEIJING_SUBWAY_30MIN,medium,30T,480,2,1,1572,867744,Transport
BEIJING_SUBWAY_30MIN,long,30T,720,2,1,1572,867744,Transport
gfc12_load,short,H,48,1,20,39414,788280,Energy
gfc12_load,medium,H,480,1,9,39414,788280,Energy
gfc12_load,long,H,720,1,6,39414,788280,Energy
buildings_900k,short,H,48,1,19,8761,15728237816,Energy
buildings_900k,medium,H,480,1,2,8761,15728237816,Energy
buildings_900k,long,H,720,1,2,8761,15728237816,Energy
london_smart_meters_with_missing,short,30T,48,1,20,10176,166238880,Energy
london_smart_meters_with_missing,medium,30T,480,1,3,10176,166238880,Energy
london_smart_meters_with_missing,long,30T,720,1,2,10176,166238880,Energy
residential_pv_power,short,T,48,3,2,901,376016850,Energy
residential_pv_power,medium,T,480,3,1,901,376016850,Energy
residential_pv_power,long,T,720,3,1,901,376016850,Energy
PEMS_BAY,short,5T,48,1,20,52128,16941600,Transport
PEMS_BAY,medium,5T,480,1,11,52128,16941600,Transport
PEMS_BAY,long,5T,720,1,8,52128,16941600,Transport
wind_power,short,4S,60,1,20,7397147,7397147,Energy
wind_power,medium,4S,600,1,20,7397147,7397147,Energy
wind_power,long,4S,900,1,20,7397147,7397147,Energy
cmip6_1975,short,6H,48,53,16,7300,3169484800,Climate
cmip6_1975,medium,6H,480,53,2,7300,3169484800,Climate
cmip6_1975,long,6H,720,53,2,7300,3169484800,Climate
elecdemand,short,30T,48,1,20,17520,17520,Energy
elecdemand,medium,30T,480,1,4,17520,17520,Energy
elecdemand,long,30T,720,1,3,17520,17520,Energy
wiki-rolling_nips,short,D,30,1,3,792,40619100,Web
wiki-rolling_nips,medium,D,300,1,1,792,40619100,Web
wiki-rolling_nips,long,D,450,1,1,792,40619100,Web
spain,short,H,48,1,20,35064,35064,Energy
spain,medium,H,480,1,8,35064,35064,Energy
spain,long,H,720,1,5,35064,35064,Energy
cdc_fluview_who_nrevss,short,W,8,4,4,270,167040,Healthcare
cdc_fluview_who_nrevss,medium,W,80,4,1,270,167040,Healthcare
cdc_fluview_who_nrevss,long,W,120,4,1,270,167040,Healthcare
covid_mobility,short,D,30,1,2,368,148602,Transport
covid_mobility,medium,D,300,1,1,368,148602,Transport
covid_mobility,long,D,450,1,1,368,148602,Transport
monash_m3_quarterly,short,Q-DEC,8,1,1,24,37004,Econ/Fin
monash_m3_quarterly,medium,Q-DEC,80,1,1,24,37004,Econ/Fin
monash_m3_quarterly,long,Q-DEC,120,1,1,24,37004,Econ/Fin
era5_2015,short,H,48,45,19,8736,3220439040,Climate
era5_2015,medium,H,480,45,2,8736,3220439040,Climate
era5_2015,long,H,720,45,2,8736,3220439040,Climate
alibaba_cluster_trace_2018,short,5T,48,2,1,100,190385060,CloudOps
alibaba_cluster_trace_2018,medium,5T,480,2,1,100,190385060,CloudOps
alibaba_cluster_trace_2018,long,5T,720,2,1,100,190385060,CloudOps
cmip6_1930,short,6H,48,53,16,7300,3169484800,Climate
cmip6_1930,medium,6H,480,53,2,7300,3169484800,Climate
cmip6_1930,long,6H,720,53,2,7300,3169484800,Climate
uber_tlc_hourly,short,H,48,1,6,2626,1129444,Transport
uber_tlc_hourly,medium,H,480,1,1,2626,1129444,Transport
uber_tlc_hourly,long,H,720,1,1,2626,1129444,Transport
era5_2012,short,H,48,45,19,8736,3220439040,Climate
era5_2012,medium,H,480,45,2,8736,3220439040,Climate
era5_2012,long,H,720,45,2,8736,3220439040,Climate
cmip6_1940,short,6H,48,53,16,7300,3169484800,Climate
