dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
sz_taxi/15T/short,Lingjiang,17.09323329017276,17.386402977837456,2.8361871821830853,0.5671442573738626,1174271885554.2747,0.41391644502276864,4.4164362710667655,4.134396363457761,0.3865837599108391,0.26519564364706477,0.2088630352872326,Transport,1
sz_taxi/15T/medium,Lingjiang,17.21445792434562,17.514251552483973,2.9012683835803954,0.5629482017337738,10647864730398.818,0.420859646594417,7.359556932369601,4.149030962085679,0.38613655459189805,0.27001142864910843,0.22888953052411917,Transport,1
sz_taxi/15T/long,Lingjiang,16.0140947738604,16.15976395566239,2.7994916519208513,0.5266544729112937,7095435715620.177,0.41183234812600794,8.351346494999227,4.001761458890372,0.37039587407490804,0.2591159338283382,0.22517247657610712,Transport,1
ett1/W/short,Lingjiang,934043.8571428572,947159.0,790.3670479910714,1.4737426040551591,0.6101730210440499,0.5210852862135302,9.820853035160889,966.4594441273039,0.38457728002962416,0.3145059126779166,0.24913932511091272,Energy,7
jena_weather/H/short,Lingjiang,1193.8501848493304,1208.3259932056703,9.578534883962837,0.6138052619383408,1.863594383941177,0.6316858060715952,5.381475698617071,34.55213719655168,0.21180240260988445,0.05871580939741089,0.04919520614165182,Nature,21
jena_weather/H/medium,Lingjiang,1297.6031746031747,1307.8561507936508,11.358327132936507,0.9872609969998994,3.3926952205216447,0.742350333050968,14.921345951635312,36.022259432234044,0.2204265941250247,0.06950361816090492,0.059438166565082017,Nature,21
jena_weather/H/long,Lingjiang,1811.4849206349206,1837.1756613756613,14.870024181547619,1.7036503568567323,2.949063884971797,0.8200739450141611,36.74916733824333,42.561542742655845,0.25626764233661453,0.08953402045444432,0.0788971210232101,Nature,21
m_dense/H/short,Lingjiang,56631.89229166666,56800.576736111114,112.90510443793403,0.9664262184532758,0.377370882363476,0.2814634009501656,9.238169080076567,237.9745622785483,0.42210761464237084,0.2002655403961221,0.16331943563923426,Transport,1
m_dense/H/medium,Lingjiang,45420.64666666667,45423.653333333335,104.41352430555555,0.8804006605805744,0.36356739349609785,0.2614305755106678,8.759647794720259,213.12120182343818,0.37080397737034576,0.18166634653191666,0.14737409299407392,Transport,1
m_dense/H/long,Lingjiang,49752.48987654321,49573.60592592593,111.23660493827161,0.9419306312193415,0.41018671183221617,0.2705995697473848,9.47996512382366,223.05266166657418,0.3861371511555014,0.1925670171974051,0.15693379160316637,Transport,1
solar/W/short,Lingjiang,1960827.0218978103,1931086.401459854,1143.7363138686133,1.2745701544246,0.26682154105527556,0.22508404991847766,7.160781461501847,1400.2953338127677,0.28583528674232206,0.23346517647965948,0.1795946046722768,Energy,1
ett2/D/short,Lingjiang,127917.14285714286,125213.21904761904,217.22093253968254,1.409814638887418,0.41028955853174603,0.14565096545073425,12.304443440561512,357.65506127712337,0.20469542797939055,0.12432127087344728,0.10254958679143258,Energy,7
saugeen/M/short,Lingjiang,821.346912202381,812.7466517857143,18.786626906622026,1.1000416552043357,0.7276654016403925,0.5518138153362566,12.341764029571204,28.659150584104562,0.860433677181315,0.5640308990896521,0.4597692693518234,Nature,1
us_births/D/short,Lingjiang,2826943.5733333332,2767791.5733333332,1238.2691666666667,1.8224119325817063,0.12258313496907552,0.11965751761143395,26.734568368331193,1681.3517101824154,0.1576130794474118,0.11607768640027098,0.10097962706084157,Healthcare,1
saugeen/D/short,Lingjiang,1119.9961458333332,1123.9998958333333,15.4671484375,3.4350743055523565,0.46237904866536456,0.42182195556561747,49.05696560926704,33.46634347868517,1.0839828391469435,0.5009846231772188,0.43951157433521065,Nature,1
bizitobs_application/10S/short,Lingjiang,9553505.848888889,9514224.071111111,1451.8597222222222,6.286112010241561,0.09175194634331597,0.0917911630043546,62.00851907684117,3090.874609053057,0.11920267909227933,0.055992426236948833,0.04477444122233195,Web/CloudOps,2
bizitobs_application/10S/medium,Lingjiang,38072316.586666666,38252482.56,3302.0416666666665,14.387804728830615,0.2129423395792643,0.2000370956039799,158.41181211429534,6170.27686466877,0.2422886122656452,0.12966145776068874,0.11724607413195814,Web/CloudOps,2
bizitobs_application/10S/long,Lingjiang,43412484.55111111,43363701.19111111,3864.6633333333334,19.528228877502624,0.29758646647135417,0.2568691437691168,196.7394898977901,6588.815109798658,0.25410426253827,0.14904461726584523,0.13530558714350346,Web/CloudOps,2
us_births/W/short,Lingjiang,4952630.285714285,4914044.571428572,1619.2280970982142,1.4719038040047356,0.021840855479240417,0.021891268192348306,11.998193407821105,2225.450580380136,0.030210273413381852,0.021980862645627184,0.017531634559094456,Healthcare,1
hierarchical_sales/W/short,Lingjiang,474.56658521749205,485.61599990068856,11.611765522067829,0.8532678474854984,0.9547392777979034,0.5492071498136553,7.406421840175275,21.784549231450534,1.0001393108314858,0.5331018348551086,0.41534321791432344,Sales,1
ett2/15T/short,Lingjiang,7.304725138346354,7.388636634463356,1.7280328659784225,0.755450170575806,0.1109275996181732,0.13233627908806683,5.027568057151543,2.7027255018492635,0.12830799794028813,0.0820358698125295,0.06468501154439725,Energy,7
ett2/15T/medium,Lingjiang,9.417513640873016,9.406885540674603,1.9176648530505953,0.8102434393985944,0.12510297214776597,0.15249707628553727,9.903711351508937,3.0687967741238613,0.16354173501807104,0.10219583124418731,0.0863454473480228,Energy,7
ett2/15T/long,Lingjiang,9.139844680059523,9.112584790426586,1.9217139253162203,0.8189941522786657,0.12683853355144326,0.15527791717027067,11.138921354033528,3.0232176038220477,0.16111273320475183,0.10241161025058418,0.08812990126301982,Energy,7
electricity/D/short,Lingjiang,3690691163.269766,3749371098.125838,6297.337263513514,1.825122512966233,0.6999188601849841,0.13103219884045708,15.254432410985517,60751.05894772342,0.9983416598539446,0.10348616543007227,0.08229310686538788,Energy,1
solar/10T/short,Lingjiang,7.971274427427863,8.137727385657838,1.0961543851235198,0.462802415535418,1.9123008104950558,1.4585079224571553,3.6283600508181397,2.8233445463541753,0.8213106059319867,0.3188711853830772,0.2561423437975909,Energy,1
