dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
m4_yearly/A/short,TimeCopilot,3441980.378352932,3441980.378352932,866.1207942632864,3.2463873943207573,0.1587192301046716,0.1438127409448047,26.68030058195284,1855.2574965090243,0.2974991396675415,0.1388864842892939,0.1111354834231619,Econ/Fin,1
m4_quarterly/Q/short,TimeCopilot,1649204.2324344164,1649204.2324344164,531.4656786297957,1.1194624547427434,0.1084649872762843,0.0965712329395197,8.390391676598364,1284.213468405629,0.2149547199719817,0.0889579956410354,0.0706812639999902,Econ/Fin,1
m4_monthly/M/short,TimeCopilot,1723151.040030075,1723151.040030075,527.652985515515,0.8680277583134185,0.1519120435516421,0.1250162326915003,6.9872981192282175,1312.688477907106,0.2728217294943581,0.1096644043914518,0.0870305098180226,Econ/Fin,1
m4_weekly/W/short,TimeCopilot,245527.58915229616,245527.58915229616,248.1909601241382,1.8775169070343232,0.0595197073881446,0.0601563111744343,14.417804062207752,495.50740574919377,0.09027377028121,0.0452165466351476,0.0360037911683892,Econ/Fin,1
m4_daily/D/short,TimeCopilot,339885.7789085946,339885.7789085946,169.37364939729463,3.1289758740852256,0.0361720238206047,0.0287021195616276,23.885062972437364,582.9972374793851,0.0900569613240492,0.0261635479767167,0.0206197009926397,Econ/Fin,1
m4_hourly/H/short,TimeCopilot,723050.4737548288,723050.4737548288,182.3911088645554,0.6846297544983118,0.0825595183939915,0.0757764058759636,5.505552015958407,850.3237464371019,0.1160879603442819,0.0249004122273848,0.0191659475126395,Econ/Fin,1
electricity/15T/short,TimeCopilot,129109.21228028572,129109.21228028572,50.6096142157925,0.9485497544093916,0.1577301025534274,0.1610605741064479,9.282907548441637,359.31770382251653,0.7082860237922071,0.0997615259065198,0.0816444560496821,Energy,1
electricity/H/short,TimeCopilot,1344167.1114214023,1344167.1114214023,155.04482502112168,0.8527398776296111,0.1724385059756135,0.1178214356279322,9.533425736321396,1159.3822111027073,0.5473112021672953,0.0731922301028048,0.0598951177394426,Energy,1
electricity/D/short,TimeCopilot,1721518949.3204217,1721518949.3204217,4647.23251412638,1.493669596270151,0.4186696398392472,0.1000679023657241,12.027061961305236,41491.19122561344,0.6818380967763904,0.0763694673281206,0.0597293577776379,Energy,1
electricity/W/short,TimeCopilot,71908944635.26524,71908944635.26524,32202.25915521544,1.629060659120679,0.2576717995989045,0.104325063324299,12.429987531512536,268158.43196749425,0.6118490491773774,0.0734749286118678,0.0573620490153483,Energy,1
solar/10T/short,TimeCopilot,27.71096110114449,27.71096110114449,2.4186889479403493,1.0706562376252655,4.213583788413503,1.5734564694718105,5.642129813041081,5.264120164010743,1.531331985641917,0.7035963530281023,0.5373463565200013,Energy,1
solar/H/short,TimeCopilot,672.9170358480362,672.9170358480362,10.561892586097978,0.8151804336856363,3.93205311748941,1.3964678876600225,5.462725581830463,25.940644476343223,0.9561807829470762,0.3893148734831171,0.3053601213068738,Energy,1
solar/D/short,TimeCopilot,136298.93764920108,136298.93764920108,248.80598014741048,0.9712445679323012,1.1282667795561911,0.4185818752378741,5.43793370425188,369.1868600711584,0.5333492661428907,0.3594398969075087,0.2797331498432301,Energy,1
solar/W/short,TimeCopilot,1861046.347917836,1861046.347917836,1102.7919667376218,1.2088747595346028,0.2510733549892688,0.2148089823192087,7.242289610192054,1364.2017255222324,0.2784676789054814,0.2251074115710256,0.1606237860319282,Energy,1
hospital/M/short,TimeCopilot,2693.71072265062,2693.71072265062,17.67330061586356,0.7522322212495625,0.1897225304734338,0.1707725285883311,5.162575014896625,51.90097034401784,0.1884125744895095,0.0641581852264095,0.0509351884030161,Healthcare,1
covid_deaths/D/short,TimeCopilot,484960.7962834471,484960.7962834471,108.74889484708724,34.51339336239821,0.0893986914036653,0.3659605010872679,609.9359712276267,696.3912666622457,0.2620206031113128,0.0409173009192008,0.0340110634700428,Healthcare,1
us_births/D/short,TimeCopilot,190390.2806294076,190390.2806294076,266.6929475911458,0.3926121612506277,0.0255644927314916,0.0251605092525439,3.9788130843548175,436.3373472777772,0.0409030856339414,0.0250002997482229,0.0209594856348459,Healthcare,1
us_births/M/short,TimeCopilot,54873853.78023275,54873853.78023275,5791.26171875,0.6531890080578105,0.0177276251794896,0.0179768118116973,4.527835738775655,7407.68882852356,0.0230082309964097,0.0179876194141139,0.0141494194352317,Healthcare,1
us_births/W/short,TimeCopilot,2061491.1465552195,2061491.1465552195,1122.201311383929,1.0202126932340878,0.0151958236178158,0.0152279975707616,6.4897467789807175,1435.789380987065,0.0194907000613962,0.0152337727652317,0.0119611003811476,Healthcare,1
saugeen/D/short,TimeCopilot,1397.2159985011735,1397.2159985011735,14.299930855433146,3.177229023885989,0.3218272747204667,0.3668521475861744,33.42253811143294,37.37935256931524,1.2107261359271997,0.4631781675864878,0.3877899403354983,Nature,1
saugeen/M/short,TimeCopilot,414.3569207143081,414.3569207143081,12.4222598473231,0.727769868549484,0.3522887461655142,0.3531264271537467,5.303483149625312,20.35575890784493,0.6111409491182782,0.3729535070471445,0.2978752947008652,Nature,1
saugeen/W/short,TimeCopilot,1169.5225413312296,1169.5225413312296,16.18062064051628,1.3127550431652302,0.3909069342130804,0.4137694471811823,10.1684685921083,34.19828272488591,1.032303600788934,0.488425488629866,0.3913826911047532,Nature,1
