dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
m4_yearly/A/short,Timer,15960074.0,15960074.0,2515.56494140625,11.507473945617676,0.3822980523109436,0.512023389339447,460.2989501953125,3995.006103515625,0.6406177282333374,0.4033825099468231,0.4033825099468231,Econ/Fin,1.0
m4_quarterly/Q/short,Timer,4070192.5,4070192.5,1059.001708984375,2.9413843154907227,0.1890403479337692,0.2066598832607269,117.6553726196289,2017.4718017578125,0.3376892507076263,0.1772582232952118,0.1772582232952118,Econ/Fin,1.0
m4_monthly/M/short,Timer,3139851.5,3139851.5,773.2167358398438,1.5437763929367063,0.1861013025045395,0.1874160319566726,61.75105667114258,1771.962646484375,0.3682746589183807,0.1607009768486023,0.1607009768486023,Econ/Fin,1.0
m4_weekly/W/short,Timer,602500.5625,602500.5625,435.4611511230469,3.867011308670044,0.1095710545778274,0.1155303865671157,154.68045043945312,776.2091064453125,0.1414132714271545,0.0793342739343643,0.0793342739343643,Econ/Fin,1.0
m4_daily/D/short,Timer,409574.21875,409574.21875,216.2593231201172,4.353240966796875,0.0476609021425247,0.0409090295433998,174.129638671875,639.9798583984375,0.0988592058420181,0.0334060862660408,0.0334060862660408,Econ/Fin,1.0
m4_hourly/H/short,Timer,3704264.25,3704264.25,325.61083984375,3.465131998062134,0.1837441772222519,0.1398412883281707,138.6052703857422,1924.6466064453125,0.262756735086441,0.04445306584239,0.0444530695676803,Econ/Fin,1.0
electricity/15T/short,Timer,439636.90625,439636.90625,119.53121948242188,2.256010293960572,0.3652159869670868,0.3091564476490021,90.24040985107422,663.0512084960938,1.307004690170288,0.2356195896863937,0.2356196045875549,Energy,1.0
electricity/H/short,Timer,2290321.25,2290321.25,240.87733459472656,1.3026354312896729,0.3624715209007263,0.1691998392343521,52.10541915893555,1513.3807373046875,0.7144237756729126,0.113711304962635,0.113711304962635,Energy,1.0
electricity/D/short,Timer,2299531264.0,2299531264.0,5843.25244140625,1.8616673946380613,0.7036624550819397,0.1342314183712005,74.46669006347656,47953.42578125,0.7880340814590454,0.0960240438580513,0.0960240438580513,Energy,1.0
electricity/W/short,Timer,135113850880.0,135113850880.0,49654.5703125,2.278900384902954,0.2822481393814087,0.132920354604721,91.15601348876952,367578.375,0.8386925458908081,0.1132953464984893,0.1132953464984893,Energy,1.0
solar/10T/short,Timer,42.372314453125,42.372314453125,3.8650217056274414,1.700700283050537,4.472381591796875,1.6286958456039429,68.02801513671875,6.509401798248291,1.893584370613098,1.124334454536438,1.124334454536438,Energy,1.0
solar/H/short,Timer,761.1024780273438,761.1024780273438,14.604989051818848,1.12728750705719,5.338653087615967,1.4358646869659424,45.09149932861328,27.588085174560547,1.0169060230255127,0.5383447408676147,0.5383447408676147,Energy,1.0
solar/D/short,Timer,118298.1796875,118298.1796875,260.9843444824219,1.019014596939087,1.0004303455352783,0.4478209018707275,40.76058578491211,343.94500732421875,0.4968833923339844,0.3770334720611572,0.3770335018634796,Energy,1.0
solar/W/short,Timer,1952498.25,1952498.25,1030.47265625,1.1244401931762695,0.2236430644989013,0.1972776353359222,44.97760391235352,1397.3182373046875,0.2852275967597961,0.2103452235460281,0.2103452384471893,Energy,1.0
hospital/M/short,Timer,31698.765625,31698.765625,51.45354080200195,1.4601761102676392,0.2785269916057586,0.3147836923599243,58.40704727172852,178.04147338867188,0.6463319063186646,0.1867882907390594,0.1867883056402206,Healthcare,1.0
covid_deaths/D/short,Timer,19473190.0,19473190.0,766.7901000976562,82.29279327392578,0.2722060084342956,0.6154463291168213,3291.711669921875,4412.84375,1.6603540182113647,0.2885085046291351,0.2885085046291351,Healthcare,1.0
us_births/D/short,Timer,1422180.125,1422180.125,1070.29443359375,1.576511263847351,0.1054572388529777,0.1028548330068588,63.06045150756836,1192.552001953125,0.1117920652031898,0.1003314107656478,0.1003314033150672,Healthcare,1.0
us_births/M/short,Timer,320133216.0,320133216.0,14097.0830078125,1.5948479175567627,0.0438226461410522,0.0438417382538318,63.79391479492188,17892.267578125,0.0555732585489749,0.0437854453921318,0.0437854453921318,Healthcare,1.0
us_births/W/short,Timer,6209666.5,6209666.5,1802.1334228515625,1.6382945775985718,0.0239783357828855,0.0244099199771881,65.53178405761719,2491.920166015625,0.0338275730609893,0.0244637839496135,0.0244637820869684,Healthcare,1.0
saugeen/D/short,Timer,1427.042724609375,1427.042724609375,20.21636962890625,4.487884044647217,0.8190188407897949,0.565277636051178,179.51536560058594,37.77621841430664,1.2235807180404663,0.6548130512237549,0.6548130512237549,Nature,1.0
saugeen/M/short,Timer,398.7861328125,398.7861328125,14.635396003723145,0.8574973940849304,0.5644688606262207,0.4876649081707001,34.299896240234375,19.96963119506836,0.5995482206344604,0.4393984973430633,0.4393985271453857,Nature,1.0
saugeen/W/short,Timer,1276.0330810546875,1276.0330810546875,19.29665756225586,1.5652990341186523,0.6592676043510437,0.5892956256866455,62.611961364746094,35.72160720825195,1.0782864093780518,0.5824856162071228,0.5824856162071228,Nature,1.0
temperature_rain/D/short,Timer,184.2439117431641,184.2439117431641,6.942285537719727,1.681937575340271,93.59574127197266,1.425851583480835,67.27750396728516,13.573647499084473,1.5979772806167605,0.8172905445098877,0.8172906041145325,Nature,1.0
kdd_cup_2018/H/short,Timer,4599.66259765625,4599.66259765625,23.67636489868164,1.0080336332321167,1.0133415460586548,0.5278124213218689,40.32134628295898,67.82080841064453,1.4196124076843262,0.4955891966819763,0.4955892264842987,Nature,1.0
kdd_cup_2018/D/short,Timer,2857.045654296875,2857.045654296875,21.094287872314453,1.2058345079421997,0.520703136920929,0.473745733499527,48.23337936401367,53.45133972167969,1.197366714477539,0.4725344777107239,0.4725344777107239,Nature,1.0
car_parts/M/short,Timer,1.33407723903656,1.33407723903656,0.4690718650817871,0.8716527223587036,0.8576087355613708,1.90359365940094,34.86610794067383,1.1550226211547852,2.769625663757324,1.124786138534546,1.124786138534546,Sales,1.0
