dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
loop_seattle/5T/short,Xihe-ultra,39.34097461050878,40.32860606285072,3.4896258807895846,0.5525362998379605,0.094297795,0.074050939,4.822610106944024,6.272238405107763,0.10755504105421235,0.059839379601151696,0.047383994,Transport,1
loop_seattle/5T/medium,Xihe-ultra,70.70040965234779,73.64114866022479,4.972976076738261,0.7891794207190156,0.15848267904622143,0.11360184718339666,7.058404419723909,8.408353563709591,0.14960188775951558,0.088479463,0.070789544,Transport,1
loop_seattle/5T/long,Xihe-ultra,85.22036113,90.05738919,5.416399793892794,0.8572834423092317,0.1683974280946231,0.12249189501806863,7.882430169533041,9.231487482220977,0.16321459728026513,0.095763062,0.076725057,Transport,1
loop_seattle/D/short,Xihe-ultra,16.337564242380374,16.41358982946727,2.6972937100182213,0.8156672950509517,0.05026079,0.04986258,10.258198365673604,4.041975289679586,0.072235498,0.048204241715563236,0.040016383750949784,Transport,1
loop_seattle/H/short,Xihe-ultra,55.85335249825968,56.65669669439879,4.064133133830489,0.8297236668002693,0.10991025101801177,0.093006592,9.400679467238401,7.473510052061192,0.13228872839318825,0.07193929,0.058627793705812184,Transport,1
loop_seattle/H/medium,Xihe-ultra,61.60918698148462,62.63858120409451,4.3977422897291625,0.9104377164081833,0.11437020351028049,0.099454172,8.622050446128046,7.849151991233487,0.13873288396643974,0.077729603,0.061905687,Transport,1
loop_seattle/H/long,Xihe-ultra,57.59299662,58.548485353914046,4.255037760332683,0.8954051820383957,0.12301649396100485,0.097998629,8.232442723421666,7.589004981932263,0.13562565711279403,0.076043209,0.060832148,Transport,1
m_dense/D/short,Xihe-ultra,8126.747953292943,8172.730366933826,46.464174836391216,0.7043517277360063,0.12510775311764208,0.10280287337204327,7.8535984570922945,90.14847726552536,0.15606034259939686,0.080436356,0.065114109,Transport,1
m_dense/H/short,Xihe-ultra,45465.97222222222,45216.50738715278,88.69915920681423,0.7916560735820326,0.28938815347836294,0.2094913044808564,12.060428467501541,213.22751281723055,0.37821251342712214,0.15733022206771616,0.1334740172149549,Transport,1
m_dense/H/medium,Xihe-ultra,44500.24055555555,44613.32777777778,85.02190538194445,0.7031574416225225,0.26314022565800077,0.1934854074176172,8.870896652398848,210.95080126786803,0.36702776280543337,0.14792738180769122,0.12138226762979448,Transport,1
m_dense/H/long,Xihe-ultra,37076.328641975306,36327.01753,82.43189236111111,0.7148072681487547,0.27660185698957396,0.19591595142835877,8.581513132,192.55214525415008,0.33333624562822173,0.14270179895121288,0.11891402503711118,Transport,1
sz_taxi/15T/short,Xihe-ultra,16.630913570665573,16.843553703041547,2.7365195728633696,0.5462189537812815,848127617922.1898,0.3978250172352898,4.920805596460368,4.078101711662618,0.38131996929488093,0.2558762957076115,0.2036165907762556,Transport,1
sz_taxi/15T/medium,Xihe-ultra,16.318150799386608,16.344076882436365,2.7502277523122136,0.5366250260285236,8.24306E+12,0.40636193496480416,4.366802200577904,4.039573096180661,0.375949692,0.25595459033288426,0.20328156169399011,Transport,1
sz_taxi/15T/long,Xihe-ultra,15.819299133654075,15.615498829072774,2.696805781514074,0.5093306830530901,5304816053489.923,0.4019625261718791,3.809638651956226,3.977348254007194,0.3681362552517857,0.24961152962849423,0.19749012920230472,Transport,1
sz_taxi/H/short,Xihe-ultra,7.180808700757921,7.264489279022027,1.8484015947661638,0.5636197936304952,1.0594996940319579,0.2998066327640939,5.040299545121094,2.6797030993671522,0.24963087985316815,0.17219001483128735,0.13770351219023647,Transport,1
bitbrains_fast_storage/5T/short,Xihe-ultra,1740656.9357593034,1892030.2557939012,170.7166456,0.7214019874809705,2.098241080430293,0.5111373083253393,14.146971203244998,1319.3395831852024,4.142399983278953,0.5360080444022636,0.4214194016966749,Web/CloudOps,2
bitbrains_fast_storage/5T/medium,Xihe-ultra,3065239.988,3737769.4114507237,299.76141837666535,0.9761514890953042,4.911699487594148,0.5934678123536729,21.543849279856726,1750.782678685016,5.319361259380567,0.9107579686403086,0.6425679957485908,Web/CloudOps,2
bitbrains_fast_storage/5T/long,Xihe-ultra,3925795.310068557,4620252.107380255,373.74073252946386,0.8848255286825402,5.188026568555966,0.617577207,16.35580747161677,1981.3619836033388,5.236148127033329,0.9876851644600814,0.6962672346450743,Web/CloudOps,2
bitbrains_fast_storage/H/short,Xihe-ultra,3452800.4797025668,3081815.2541445065,344.74713438665026,1.0699317805783952,3.458673907185198,0.43965908487033417,24.590110366040065,1858.1712729731257,5.296391660568114,0.9826413066050114,0.7206755493589037,Web/CloudOps,2
bitbrains_rnd/5T/short,Xihe-ultra,1509881.7125270413,1782566.6722925613,127.90360169965928,1.6547397376366055,0.8996768625453858,0.4797972762097815,53.94488883113205,1228.772441,5.027782132,0.5233446174647571,0.42800308223909583,Web/CloudOps,2
bitbrains_rnd/5T/medium,Xihe-ultra,2209326.1475203903,2262989.9485829254,146.68188255432295,4.382693427175122,0.4230648905367195,0.5191792713028323,161.0632905835478,1486.380216337795,6.253959180851816,0.6171654439302363,0.6129070867805502,Web/CloudOps,2
bitbrains_rnd/5T/long,Xihe-ultra,2400978.5497138854,2344627.651069595,162.49573269282857,3.3021078255405243,0.8490898851438152,0.49751478259037724,116.49943273646113,1549.5091318588236,5.935820402,0.6224845439923974,0.6129977297103549,Web/CloudOps,2
bitbrains_rnd/H/short,Xihe-ultra,1837965.7806080913,1772938.9382906691,146.92298148364438,5.8293048824970635,1.2349270134135604,0.4419023798861622,211.61750653367537,1355.7159660519203,5.933276495373147,0.643006865,0.6128791462198312,Web/CloudOps,2
bizitobs_application/10S/short,Xihe-ultra,308054.3644444444,304969.92,297.6815277777778,1.0864350750778309,0.015135137769911024,0.015331965,11.058388250651394,555.0264538239996,0.021405152,0.011480386659316843,0.009110071,Web/CloudOps,2
bizitobs_application/10S/medium,Xihe-ultra,744430.6133333333,1137550.2933333332,586.3482813,1.395300264927214,0.019421405792236328,0.019760717376114352,15.17861989,862.8039251958311,0.033879771,0.023024171,0.016975704558060425,Web/CloudOps,2
bizitobs_application/10S/long,Xihe-ultra,5825904.071111111,6023439.928888889,1480.8793055555554,3.125557401569899,0.045064417521158855,0.046117891251138875,75.8035093,2413.690964293298,0.093086413,0.057111596,0.052742588,Web/CloudOps,2
bizitobs_l2c/5T/short,Xihe-ultra,20.592596290225075,20.701712617420014,2.6786615280877974,0.27563674887882766,0.1408420770539473,0.1920023591734577,3.193351130745122,4.537906597785489,0.155850074,0.091996076,0.074610059,Web/CloudOps,7
bizitobs_l2c/5T/medium,Xihe-ultra,152.93063350340137,158.73026147959183,8.440059657,0.8267371123610818,0.5844651824300799,0.8971080968853361,10.363730534977945,12.366512584532527,0.6506604421324771,0.4440712699152879,0.3663172065816551,Web/CloudOps,7
